epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,2202.68,0.81543,0.60076,1.11391,0.74468,0.69229,0.7448,0.50794,0.9133,0.68227,1.28642,0.006304,0.006304,0.006304
58,2241.31,0.82346,0.62108,1.1239,0.69195,0.68269,0.72277,0.50199,1.03707,0.69351,1.36761,0.006238,0.006238,0.006238
59,2279.79,0.81454,0.62087,1.10766,0.88441,0.66215,0.74762,0.55925,0.8738,0.65529,1.26336,0.006172,0.006172,0.006172
60,2318.22,0.82325,0.628,1.12774,0.8691,0.66556,0.73083,0.54804,0.95315,0.64758,1.32295,0.006106,0.006106,0.006106
61,2356.64,0.80656,0.615,1.1126,0.82583,0.85615,0.87492,0.60101,0.98873,0.643,1.34735,0.00604,0.00604,0.00604
62,2395.2,0.79741,0.59938,1.11446,0.75771,0.68631,0.74533,0.53533,0.89022,0.62168,1.27196,0.005974,0.005974,0.005974
63,2433.59,0.79899,0.60528,1.11703,0.84313,0.71433,0.7218,0.51902,0.90515,0.61603,1.26187,0.005908,0.005908,0.005908
64,2472.07,0.78639,0.59818,1.10319,0.9191,0.68776,0.73906,0.52762,0.95961,0.63574,1.33843,0.005842,0.005842,0.005842
65,2510.64,0.79633,0.59997,1.11166,0.76319,0.70594,0.73497,0.50873,0.92988,0.62419,1.2954,0.005776,0.005776,0.005776
66,2549.25,0.7972,0.60463,1.09908,0.85344,0.68702,0.72628,0.53079,0.93147,0.62373,1.29071,0.00571,0.00571,0.00571
67,2587.62,0.77644,0.58287,1.10691,0.718,0.68521,0.72987,0.52289,0.90096,0.60977,1.27576,0.005644,0.005644,0.005644
68,2626.08,0.78326,0.59923,1.10012,0.8907,0.70198,0.74515,0.52402,0.92809,0.61,1.30102,0.005578,0.005578,0.005578
69,2664.51,0.7759,0.58572,1.09599,0.91196,0.68395,0.72148,0.50887,0.99415,0.61236,1.35543,0.005512,0.005512,0.005512
70,2703.08,0.77095,0.59382,1.0968,0.87663,0.70295,0.73918,0.538,0.95052,0.67602,1.28934,0.005446,0.005446,0.005446
71,2741.64,0.77464,0.58201,1.09412,0.80652,0.72001,0.7048,0.51225,0.90579,0.59957,1.26005,0.00538,0.00538,0.00538
72,2780.04,0.78093,0.58537,1.0982,0.88096,0.68448,0.73348,0.51619,0.8866,0.61686,1.27652,0.005314,0.005314,0.005314
73,2818.54,0.77478,0.57127,1.0898,0.75641,0.70899,0.74024,0.53782,0.90159,0.57881,1.27312,0.005248,0.005248,0.005248
74,2857.12,0.77046,0.57735,1.09512,0.76948,0.69887,0.73458,0.52094,0.89333,0.634,1.27123,0.005182,0.005182,0.005182
75,2895.61,0.76684,0.56181,1.08964,0.90584,0.67428,0.74189,0.5221,0.8991,0.60567,1.27956,0.005116,0.005116,0.005116
76,2934.16,0.78149,0.58292,1.0985,0.89738,0.69824,0.73983,0.5267,0.91067,0.61462,1.26523,0.00505,0.00505,0.00505
77,2972.66,0.76462,0.57094,1.09243,0.88937,0.68905,0.73641,0.52953,0.94149,0.63406,1.34317,0.004984,0.004984,0.004984
78,3011.22,0.76679,0.55811,1.08749,0.74917,0.72625,0.76729,0.5525,0.88088,0.63292,1.26544,0.004918,0.004918,0.004918
79,3049.72,0.76129,0.5599,1.08628,0.70156,0.66822,0.72186,0.51716,0.90813,0.62346,1.30504,0.004852,0.004852,0.004852
